name,email,birthdate,signup_date,category,purchase_amount,age,age_flag,birthdate_str,days_since_signup,signup_date_str,date_consistency
Johnny Rodriguez,molly31@yahoo.com,1999-06-15,2023-05-15,Electronics,145.03,26,Valid,15-06-1999,710,15-05-2023,Valid
James King,mitchelljames@hotmail.com,1974-07-21,2024-01-30,Electronics,203.66,51,Valid,21-07-1974,450,30-01-2024,Valid
Marcia Hickman,lawrencelin@hotmail.com,2005-11-06,2024-09-10,Furniture,414.63,20,Valid,06-11-2005,226,10-09-2024,Valid
Andrea Wade,sjones@reed.com,1985-06-30,2023-12-08,Clothing,405.85,40,Valid,30-06-1985,503,08-12-2023,Valid
Erik Jacobs,tranrodney@yahoo.com,1989-11-26,2022-11-24,Clothing,141.49,36,Valid,26-11-1989,882,24-11-2022,Valid
Shirley Freeman,ypatterson@reid-hooper.com,1989-03-01,2025-02-19,Toys,424.43,36,Valid,01-03-1989,64,19-02-2025,Valid
Francisco Reed,michael85@floyd.net,1993-11-03,2022-06-07,Sports,490.04,32,Valid,03-11-1993,1052,07-06-2022,Valid
Kevin Gonzalez,sarawillis@waller-mckay.net,1960-01-14,2023-10-24,Groceries,478.48,65,Valid,14-01-1960,548,24-10-2023,Valid
James Howell,keithlopez@hotmail.com,1996-06-23,2024-10-28,Furniture,474.09,29,Valid,23-06-1996,178,28-10-2024,Valid
Jessica Patel,ojohnson@fleming-craig.com,1971-11-07,2024-01-28,Furniture,491.76,54,Valid,07-11-1971,452,28-01-2024,Valid
Andrew Garner,ashleygreene@fowler.com,1985-09-23,2024-08-07,Groceries,43.64,40,Valid,23-09-1985,260,07-08-2024,Valid
Valerie Torres,richard31@novak.net,1972-01-06,2024-07-24,Sports,68.11,53,Valid,06-01-1972,274,24-07-2024,Valid
Frank Gordon,tmiranda@bailey.info,1959-01-25,2022-12-28,Toys,302.84,66,Valid,25-01-1959,848,28-12-2022,Valid
Jay Scott,robert95@gmail.com,1985-06-08,2024-06-07,Furniture,261.39,40,Valid,08-06-1985,321,07-06-2024,Valid
Nichole Parker,ferrellapril@yahoo.com,1957-07-24,2023-08-07,Groceries,257.25,68,Valid,24-07-1957,626,07-08-2023,Valid
Jennifer Carpenter,heatherdominguez@reid.org,1975-07-25,2023-12-04,Beauty,411.38,50,Valid,25-07-1975,507,04-12-2023,Valid
Kristen Jackson,no_email@unknown.com,1977-02-06,2022-10-29,Sports,52.36,48,Valid,06-02-1977,908,29-10-2022,Valid
Katherine Buck,barbaranorton@joseph-johnson.com,1982-02-13,2023-11-07,Groceries,250.568350877193,43,Valid,13-02-1982,534,07-11-2023,Valid
Levi Williams,arroyosarah@gmail.com,1973-12-12,2025-01-09,Clothing,30.43,52,Valid,12-12-1973,105,09-01-2025,Valid
Unknown,wiseerika@morales.com,1962-10-24,2022-09-07,Clothing,325.08,63,Valid,24-10-1962,960,07-09-2022,Valid
Joseph Lopez,nguyenkathleen@yahoo.com,1967-10-21,2022-05-11,Beauty,381.62,58,Valid,21-10-1967,1079,11-05-2022,Valid
Melinda Mason,no_email@unknown.com,1961-11-10,2023-10-04,Toys,39.5,64,Valid,10-11-1961,568,04-10-2023,Valid
Teresa Miller,allisonwilliams@gonzalez-fox.com,1967-01-02,2024-02-04,Electronics,414.66,58,Valid,02-01-1967,445,04-02-2024,Valid
Brittany Lee,samantha24@hotmail.com,1978-01-19,2024-07-15,Toys,366.88,47,Valid,19-01-1978,283,15-07-2024,Valid
Cynthia Blanchard,thall@brown-davis.org,2004-01-28,2024-07-01,Groceries,40.35,21,Valid,28-01-2004,297,01-07-2024,Valid
Joel Cunningham,robinsonjames@gmail.com,2000-08-11,2024-11-12,Books,444.37,25,Valid,11-08-2000,163,12-11-2024,Valid
Diana Rogers,lcook@cox.com,2006-04-12,2022-11-28,Toys,149.43,19,Valid,12-04-2006,878,28-11-2022,Valid
Matthew Mora,wgreen@hotmail.com,1974-03-13,2023-11-17,Books,53.39,51,Valid,13-03-1974,524,17-11-2023,Valid
Jessica Hill,no_email@unknown.com,1969-11-06,2023-09-12,Books,358.92,56,Valid,06-11-1969,590,12-09-2023,Valid
Alan Ware,wongkevin@lawson-cannon.com,1973-11-28,2025-04-10,Sports,219.84,52,Valid,28-11-1973,14,10-04-2025,Valid
Patrick Gomez,lindabenitez@robinson.com,1998-10-12,2024-06-06,Sports,418.42,27,Valid,12-10-1998,322,06-06-2024,Valid
Miranda Mathis,nlee@hotmail.com,2004-03-31,2024-07-08,Books,135.92,21,Valid,31-03-2004,290,08-07-2024,Valid
Tiffany Cook,amanda78@yahoo.com,2000-02-09,2022-10-31,Beauty,402.79,25,Valid,09-02-2000,906,31-10-2022,Valid
Matthew Ramsey,kelly24@hotmail.com,1958-07-21,2024-12-30,Groceries,65.92,67,Valid,21-07-1958,115,30-12-2024,Valid
William Park,woodbrian@gmail.com,1968-05-04,2022-05-18,Beauty,479.09,57,Valid,04-05-1968,1072,18-05-2022,Valid
Pamela Giles,pbush@hotmail.com,1995-08-07,2024-07-22,Beauty,169.21,30,Valid,07-08-1995,276,22-07-2024,Valid
Unknown,rochabill@wilkinson.com,1985-10-09,2025-02-22,Furniture,345.13,40,Valid,09-10-1985,61,22-02-2025,Valid
Virginia Barron,carolmitchell@hotmail.com,1979-09-12,2024-10-22,Furniture,480.82,46,Valid,12-09-1979,184,22-10-2024,Valid
Jack Burgess,ginahopkins@hotmail.com,1978-07-08,2023-01-26,Furniture,174.9,47,Valid,08-07-1978,819,26-01-2023,Valid
Alison Lopez,sheriarellano@flores.biz,1987-12-07,2023-01-29,Sports,191.11,38,Valid,07-12-1987,816,29-01-2023,Valid
Tyler Barr,adammann@guerra.com,1982-10-08,2025-02-23,Toys,421.79,43,Valid,08-10-1982,60,23-02-2025,Valid
John Blair,joshuamurphy@carpenter.net,1985-08-03,2022-10-06,Furniture,149.44,40,Valid,03-08-1985,931,06-10-2022,Valid
John Klein,afreeman@gmail.com,2003-08-27,2024-12-10,Clothing,250.568350877193,22,Valid,27-08-2003,135,10-12-2024,Valid
Heidi Glass,iduncan@ortiz.org,1997-09-03,2024-07-24,Books,143.05,28,Valid,03-09-1997,274,24-07-2024,Valid
Lisa Long,stephaniewilliams@richards.com,1963-08-14,2025-01-08,Furniture,243.89,62,Valid,14-08-1963,106,08-01-2025,Valid
Jordan Wolfe,scox@gmail.com,2001-01-20,2023-07-18,Beauty,224.23,24,Valid,20-01-2001,646,18-07-2023,Valid
Amanda Martin,watkinsrobert@coleman-roth.com,2000-08-05,2022-07-16,Groceries,47.78,25,Valid,05-08-2000,1013,16-07-2022,Valid
Justin Andrews,no_email@unknown.com,2000-05-22,2022-09-08,Books,33.14,25,Valid,22-05-2000,959,08-09-2022,Valid
Gina Flowers,jennifer63@wong.com,1973-02-01,2022-09-13,Sports,465.82,52,Valid,01-02-1973,954,13-09-2022,Valid
Ryan Delgado,michelelong@gmail.com,1964-04-03,2025-03-03,Groceries,284.57,61,Valid,03-04-1964,52,03-03-2025,Valid
Natalie Solomon,christopherjoyce@hotmail.com,1961-06-26,2024-07-02,Groceries,477.71,64,Valid,26-06-1961,296,02-07-2024,Valid
Michele White,robin40@riley-lopez.info,1978-12-30,2022-06-15,Toys,250.568350877193,47,Valid,30-12-1978,1044,15-06-2022,Valid
Steven Taylor,gordonjim@hotmail.com,1983-10-07,2024-10-23,Furniture,179.14,42,Valid,07-10-1983,183,23-10-2024,Valid
Nicole Johnson,austin34@anderson.net,1974-11-22,2023-03-09,Furniture,380.09,51,Valid,22-11-1974,777,09-03-2023,Valid
Isabella Hill,drodriguez@hotmail.com,1969-02-16,2023-12-13,Furniture,250.568350877193,56,Valid,16-02-1969,498,13-12-2023,Valid
Teresa Villegas,susan92@joseph.biz,1998-02-08,2024-05-08,Sports,15.8,27,Valid,08-02-1998,351,08-05-2024,Valid
Jeffrey Allen,no_email@unknown.com,2007-02-16,2024-12-14,Books,240.73,18,Valid,16-02-2007,131,14-12-2024,Valid
Matthew Hall,nicoledrake@hotmail.com,1987-07-20,2024-08-26,Groceries,96.31,38,Valid,20-07-1987,241,26-08-2024,Valid
Patricia Shepherd,colleendavis@gmail.com,1987-05-03,2023-02-06,Clothing,208.05,38,Valid,03-05-1987,808,06-02-2023,Valid
Deborah Rodriguez,anncarter@gmail.com,1989-12-04,2024-04-10,Electronics,245.4,36,Valid,04-12-1989,379,10-04-2024,Valid
Mark Mcfarland,lcrawford@hernandez-johnson.com,1989-06-01,2023-03-24,Electronics,266.74,36,Valid,01-06-1989,762,24-03-2023,Valid
Drew Hawkins,alexisrobinson@turner.com,2001-12-29,2024-05-19,Toys,470.55,24,Valid,29-12-2001,340,19-05-2024,Valid
David Harris,glenda08@gmail.com,1973-07-30,2024-09-27,Groceries,185.55,52,Valid,30-07-1973,209,27-09-2024,Valid
Jennifer Watson,mcgeedaniel@yahoo.com,2004-07-31,2024-03-28,Furniture,248.74,21,Valid,31-07-2004,392,28-03-2024,Valid
Brandon Palmer,dianesmith@mcneil-cooper.com,1990-02-16,2022-10-11,Clothing,489.43,35,Valid,16-02-1990,926,11-10-2022,Valid
David Morgan,ystanley@peters.net,1977-11-08,2024-01-24,Beauty,269.41,48,Valid,08-11-1977,456,24-01-2024,Valid
Troy Hooper,marywoods@pierce.com,1996-05-10,2024-08-16,Toys,263.37,29,Valid,10-05-1996,251,16-08-2024,Valid
Richard Ritter,sweeneytammy@davidson-gomez.info,1992-08-18,2022-09-19,Toys,285.6,33,Valid,18-08-1992,948,19-09-2022,Valid
Ronald Hill,mary15@yahoo.com,1966-08-05,2024-09-30,Electronics,80.6,59,Valid,05-08-1966,206,30-09-2024,Valid
Christopher Palmer,boyerdonna@benjamin.org,1996-05-02,2024-08-15,Electronics,250.568350877193,29,Valid,02-05-1996,252,15-08-2024,Valid
Ashley Hess,johnanderson@maldonado-owens.com,2006-02-10,2023-06-23,Books,161.13,19,Valid,10-02-2006,671,23-06-2023,Valid
Emily Martin,sarah79@hotmail.com,1975-08-11,2022-07-28,Toys,398.41,50,Valid,11-08-1975,1001,28-07-2022,Valid
Jessica Mccoy,friley@boyd.info,1998-03-13,2023-08-20,Clothing,150.73,27,Valid,13-03-1998,613,20-08-2023,Valid
Wayne Henry,maxwelljared@nunez-carter.info,1986-02-03,2024-05-12,Sports,66.78,39,Valid,03-02-1986,347,12-05-2024,Valid
Taylor Watson,travisreyes@wilson-riley.org,1977-03-06,2024-10-18,Furniture,268.59,48,Valid,06-03-1977,188,18-10-2024,Valid
Cassandra Joseph,jamescollins@garcia-martinez.com,1970-01-10,2023-08-10,Clothing,270.74,55,Valid,10-01-1970,623,10-08-2023,Valid
Debra Nelson,huffriley@gmail.com,1985-03-09,2023-02-12,Furniture,457.63,40,Valid,09-03-1985,802,12-02-2023,Valid
Jeanne Harper,pkrause@green.com,1997-07-20,2022-09-27,Toys,415.83,28,Valid,20-07-1997,940,27-09-2022,Valid
Jack Fisher,tyoung@yahoo.com,1997-06-08,2025-01-29,Books,191.15,28,Valid,08-06-1997,85,29-01-2025,Valid
Crystal Elliott,patricia03@le.net,1961-09-24,2022-11-08,Toys,271.56,64,Valid,24-09-1961,898,08-11-2022,Valid
Jean Smith,smithdaniel@lindsey.net,2000-03-20,2023-09-13,Beauty,119.21,25,Valid,20-03-2000,589,13-09-2023,Valid
Jeremy Collins,nicole04@rivera-jones.com,1981-04-29,2024-08-27,Electronics,74.53,44,Valid,29-04-1981,240,27-08-2024,Valid
Faith Huang,barbarasmith@gmail.com,1960-03-24,2024-11-09,Books,48.67,65,Valid,24-03-1960,166,09-11-2024,Valid
Jordan Myers,kayla92@yahoo.com,1957-03-21,2025-02-26,Furniture,111.35,68,Valid,21-03-1957,57,26-02-2025,Valid
Clayton Cox,jacksondesiree@guerrero.com,2000-03-17,2022-09-02,Books,248.34,25,Valid,17-03-2000,965,02-09-2022,Valid
Amy Becker,michele40@gmail.com,1958-04-24,2022-07-01,Sports,356.75,67,Valid,24-04-1958,1028,01-07-2022,Valid
Melinda West,emily28@tran.com,1967-05-11,2022-06-21,Sports,443.23,58,Valid,11-05-1967,1038,21-06-2022,Valid
Felicia Marquez,jonathanstewart@gmail.com,1983-09-26,2023-06-07,Clothing,108.34,42,Valid,26-09-1983,687,07-06-2023,Valid
Robin Harris,antonio79@gmail.com,1969-03-05,2024-02-21,Groceries,401.03,56,Valid,05-03-1969,428,21-02-2024,Valid
Robert Black,reyesrebecca@hotmail.com,1970-12-22,2024-12-17,Electronics,466.24,55,Valid,22-12-1970,128,17-12-2024,Valid
Crystal Jones,john81@hotmail.com,1972-10-30,2024-04-26,Books,377.9,53,Valid,30-10-1972,363,26-04-2024,Valid
Michael Blackburn,susan09@yahoo.com,1992-04-25,2023-10-18,Electronics,250.568350877193,33,Valid,25-04-1992,554,18-10-2023,Valid
Ashley Brown,no_email@unknown.com,1970-05-19,2024-03-19,Sports,324.02,55,Valid,19-05-1970,401,19-03-2024,Valid
Donald Morrow,leahburch@yahoo.com,1995-09-10,2022-10-09,Clothing,390.12,30,Valid,10-09-1995,928,09-10-2022,Valid
James Buchanan,angela96@jones.biz,1989-03-14,2022-07-23,Toys,171.64,36,Valid,14-03-1989,1006,23-07-2022,Valid
Angela Harris MD,kristin08@nelson.com,2005-04-02,2022-10-07,Books,415.76,20,Valid,02-04-2005,930,07-10-2022,Valid
Anne Hughes,wrightjulie@hotmail.com,2006-08-18,2024-10-01,Sports,452.81,19,Valid,18-08-2006,205,01-10-2024,Valid
Andrew Dixon,dorseyedwin@randall-mcmillan.com,1994-01-26,2023-03-10,Toys,29.56,31,Valid,26-01-1994,776,10-03-2023,Valid
Erin Ingram,aliciamiles@dominguez.org,1979-03-28,2024-11-20,Electronics,383.04,46,Valid,28-03-1979,155,20-11-2024,Valid
Bryan Snyder,cartercatherine@gmail.com,1989-11-11,2024-03-25,Beauty,448.42,36,Valid,11-11-1989,395,25-03-2024,Valid
